mesa,A540,A500,A520,P13,A590,A560,A570,blancos,nulos
7554,114,68,43,3,3,19,4,5,4
7557,119,45,59,3,6,9,4,4,10
7619,124,50,50,2,6,5,4,1,11
7552,104,52,51,2,6,12,3,9,6
7556,100,83,47,2,1,9,1,12,11
7553,116,70,30,4,3,9,6,8,7
7558,128,56,49,0,5,6,5,3,8
7618,137,67,44,2,4,7,4,4,10
7617,116,62,42,6,6,6,2,11,10
6213,128,95,24,0,1,2,2,14,2
7612,108,73,47,3,9,7,1,8,7
7616,123,62,46,2,6,7,4,11,10
7614,124,42,59,1,4,8,2,7,12
7615,110,71,53,1,4,11,2,11,8
7613,126,62,46,3,4,6,5,9,13
7609,100,71,34,2,5,10,2,14,11
7611,119,69,42,4,4,7,3,11,17
6274,104,92,41,3,1,4,1,17,1
7608,98,88,45,2,7,8,1,5,4
6579,71,28,47,0,2,3,2,19,2
7607,121,39,56,3,7,4,0,5,6
7610,116,72,27,0,7,12,5,10,4
6273,98,108,45,0,4,3,0,18,5
6578,89,24,29,0,1,6,1,22,2
6271,96,105,71,0,1,6,2,6,4
6266,105,104,36,0,3,2,1,13,6
6272,116,104,33,2,2,2,0,10,14
6265,102,104,35,1,2,3,1,24,3
6268,117,89,42,1,0,4,0,20,3
6585,141,25,105,0,0,0,1,11,2
6267,109,99,55,0,2,2,2,16,4
6584,114,44,116,0,1,0,1,13,1
6270,97,110,42,0,3,7,1,23,3
6269,108,97,52,2,1,5,0,20,2
6586,150,38,83,0,0,0,0,19,5
6227,122,110,20,0,2,5,3,14,2
6229,123,81,23,0,0,0,0,15,11
6583,146,37,82,0,1,0,1,22,6
6190,112,95,33,0,4,8,0,14,6
6228,144,113,22,1,0,1,0,15,4
6188,128,91,25,1,1,2,0,25,7
6230,110,103,29,1,0,9,2,15,7
6209,0,0,0,0,0,0,0,0,0
6185,115,125,22,1,1,2,0,19,2
6207,127,93,22,3,1,3,0,20,9
6189,111,99,23,1,2,9,1,9,15
6206,128,105,23,1,0,5,1,21,6
6204,96,128,37,0,0,2,1,14,4
6186,127,95,27,2,1,6,2,17,5
6205,107,76,30,1,0,5,1,31,2
6203,107,124,14,0,2,4,0,28,4
6187,132,84,22,0,3,3,0,16,5
5179,0,0,0,0,0,0,0,0,0
6208,113,97,34,1,1,6,2,13,7
5178,85,73,28,9,4,16,4,1,9
5176,72,75,46,7,2,7,3,8,6
5177,85,87,40,3,1,5,2,7,5
6202,106,125,23,3,4,5,2,10,5
7533,119,56,47,0,9,12,1,9,5
7582,127,43,46,2,5,12,3,6,10
7593,100,72,47,1,5,10,4,4,5
7534,118,71,48,3,9,7,3,3,9
7532,107,61,52,5,2,9,0,9,6
7314,105,76,30,8,1,17,2,5,11
7606,117,60,44,4,4,9,4,5,12
7592,119,36,47,3,5,8,2,8,11
5969,106,147,15,0,3,1,1,9,4
7316,85,86,24,5,2,9,2,5,11
7317,90,83,25,4,3,11,2,7,14
7318,96,92,25,3,3,10,2,3,5
7313,80,88,34,4,3,10,5,4,12
7315,84,74,42,6,5,10,2,5,6
5975,110,130,17,3,0,2,1,9,8
7605,118,70,45,2,4,7,4,3,7
5982,149,101,15,0,0,0,1,8,3
4814,0,0,0,0,0,0,0,0,0
7583,118,37,59,1,7,13,5,7,8
4813,98,99,24,1,1,1,3,18,2
4812,0,0,0,0,0,0,0,0,0
5981,120,128,21,1,2,3,0,4,6
4815,138,86,12,0,0,0,3,14,0
4819,63,46,2,0,0,1,0,3,0
5980,117,136,16,2,0,2,1,9,1
4816,120,110,21,0,0,3,1,15,0
5976,139,99,15,2,3,1,0,8,6
4811,154,83,9,0,0,1,0,6,0
5977,144,104,16,0,1,4,0,10,8
5973,128,109,24,2,2,6,1,6,3
5978,138,121,15,0,1,1,2,13,9
5979,124,132,14,0,2,0,1,7,5
5972,119,105,18,2,0,1,3,9,11
5974,134,104,15,0,0,1,1,9,7
5970,146,85,18,0,1,2,2,6,3
5968,147,105,13,2,2,0,0,12,4
5966,123,109,22,0,3,3,1,9,8
5965,117,142,6,1,4,1,0,13,5
5971,143,120,16,1,1,0,1,4,5
5967,119,106,15,2,1,5,2,11,5
5964,145,100,13,2,1,3,3,7,2
5963,164,85,21,0,1,1,0,18,3
7312,88,90,19,3,3,9,4,7,13
7623,123,53,50,1,4,12,2,13,19
4809,0,0,0,0,0,0,0,0,0
7311,82,87,31,4,2,11,3,0,6
4808,0,0,0,0,0,0,0,0,0
7622,106,63,56,4,3,8,4,9,9
7591,121,42,50,1,7,6,1,8,9
7620,127,52,61,3,6,5,5,11,7
7587,129,58,57,0,3,13,5,2,14
7589,139,63,42,3,1,7,8,3,9
7621,136,48,50,3,4,5,2,8,15
7588,122,41,47,2,7,6,4,14,10
7590,128,65,43,2,4,4,2,7,11
7585,118,46,57,2,4,9,4,8,9
7584,118,71,47,3,3,5,3,13,3
7603,128,38,42,3,1,6,5,6,7
7604,149,40,44,1,4,4,1,4,9
7586,121,49,54,2,5,10,1,3,9
7602,126,68,47,2,7,5,3,3,7
7598,118,46,49,7,3,9,3,13,3
7599,120,67,44,4,8,7,3,6,8
7596,116,64,40,1,2,19,5,8,11
7581,134,47,48,1,2,11,1,2,13
7595,112,68,44,3,4,6,1,6,7
7600,102,70,47,2,3,8,8,3,11
7594,117,77,47,1,3,6,3,6,11
7601,103,66,51,7,4,6,5,9,6
7597,124,77,53,1,3,4,4,4,9
7578,111,60,46,0,5,7,1,7,12
7577,135,53,44,5,5,10,6,3,4
7580,114,51,48,1,4,9,3,7,13
7573,123,70,41,2,3,4,5,5,9
7579,123,55,42,4,5,16,4,2,4
7570,96,68,57,1,5,3,3,7,4
7576,108,60,64,3,8,10,4,8,6
7572,102,60,48,0,2,7,4,4,15
7574,116,53,40,2,8,5,5,8,9
7571,126,56,51,1,8,12,3,5,4
7575,118,50,54,3,4,9,1,14,10
7528,113,57,41,4,12,8,2,8,8
7531,127,56,45,5,1,7,2,4,16
7527,131,63,40,4,5,7,1,7,8
5175,90,70,43,6,2,17,1,3,9
7529,130,59,54,2,3,7,3,3,3
7526,43,44,54,0,1,6,3,10,7
7530,124,45,48,1,3,6,0,6,9
7524,128,69,43,3,1,8,3,12,6
7521,96,76,37,1,2,5,0,0,0
7520,94,82,45,1,2,8,5,6,9
7522,108,87,42,1,7,14,2,5,6
7523,91,92,52,1,3,14,2,13,8
7525,106,58,42,3,6,4,1,16,9
4810,108,55,18,0,0,2,0,12,0
4945,71,103,23,7,4,15,2,12,13
5238,65,90,36,3,5,21,3,3,6
4842,74,105,27,8,4,8,2,0,0
5264,93,85,43,2,2,5,2,10,5
4949,65,73,64,11,4,7,5,5,7
4950,91,94,45,4,1,6,3,6,14
4840,96,92,24,5,0,10,6,0,9
5265,102,97,26,4,3,8,2,14,11
5262,136,76,32,2,1,5,2,18,3
4841,75,81,34,9,2,10,4,3,9
5132,137,51,32,4,4,5,0,7,4
5130,91,83,34,4,6,17,1,2,13
5131,103,68,36,1,2,14,5,4,9
5263,112,104,22,0,0,2,3,15,8
5214,118,67,29,8,1,15,2,6,7
5198,65,74,15,0,1,4,2,3,3
5169,82,102,34,2,2,22,4,2,6
5219,0,0,0,0,0,0,0,0,0
5221,103,94,23,0,1,9,3,16,0
5220,100,81,24,5,0,12,4,5,15
5217,78,79,29,7,2,15,0,4,11
5210,100,79,29,2,2,10,5,6,4
5218,98,71,22,7,4,17,1,10,6
5216,95,78,22,8,3,4,4,6,13
5211,106,64,26,12,2,7,8,4,12
5213,130,56,20,4,2,6,3,9,4
5215,92,71,27,7,2,10,2,10,11
5168,82,67,44,4,2,11,1,6,11
5209,101,73,24,2,2,9,2,7,5
5212,107,73,33,0,6,14,1,2,4
5166,101,70,37,4,0,8,2,79,6
5162,88,99,38,5,0,12,2,6,6
5164,96,108,37,2,2,14,1,8,3
5165,80,95,50,5,1,8,6,6,4
5163,78,99,38,4,1,9,4,4,6
4806,33,0,18,0,0,0,0,1,4
5167,83,87,36,2,3,14,2,2,11
4805,101,10,64,1,0,0,0,16,2
5128,80,112,32,5,5,13,1,2,8
5161,88,95,31,1,2,12,3,2,6
5127,92,88,45,7,1,21,4,2,10
5160,93,89,26,1,1,13,0,7,9
5129,85,40,39,4,0,13,2,4,4
5249,81,74,44,4,2,13,1,4,10
5247,108,81,30,9,0,9,1,2,7
5126,75,75,39,4,3,10,2,7,8
5125,90,81,34,3,1,15,1,8,13
5250,92,72,44,10,4,13,3,0,4
5246,86,82,36,7,0,11,5,5,8
5248,92,99,43,3,2,16,1,3,5
5245,128,72,37,5,2,10,4,2,3
5259,116,97,20,2,1,9,0,10,11
5244,84,81,44,8,3,13,0,3,17
4807,22,0,2,0,0,0,0,5,0
5257,127,84,21,1,0,5,2,18,1
5260,121,83,17,5,2,4,2,21,4
5258,87,100,43,1,0,8,1,11,7
5253,111,88,36,2,0,10,1,2,4
5252,95,113,27,2,2,6,2,17,7
5261,118,91,20,0,0,8,4,18,7
5256,87,97,30,4,2,10,5,13,9
5255,126,98,33,6,1,6,2,14,4
4838,81,84,37,8,3,13,5,3,4
5254,112,76,29,2,3,5,2,25,10
5251,101,103,22,2,1,10,2,14,6
4958,96,79,46,5,3,10,3,6,9
4839,77,91,36,8,2,13,6,4,7
4956,74,77,38,10,3,12,6,5,12
5020,58,32,70,0,0,5,1,4,2
5019,49,23,87,6,0,8,4,2,4
4957,67,86,43,9,4,7,3,10,9
