mesa,A540,A500,A520,P13,A590,A560,A570,blancos,nulos
5904,100,104,24,3,3,11,1,8,8
5903,118,103,16,0,1,11,5,4,9
5900,126,79,17,2,1,10,4,8,5
5946,111,127,16,3,3,2,1,17,4
5902,94,114,24,3,6,4,1,10,9
5901,97,95,21,2,5,12,1,8,11
5945,114,145,15,0,6,3,0,15,5
5948,114,136,13,1,3,2,1,10,1
5947,117,108,20,0,2,1,1,15,7
5943,29,24,2,1,0,0,1,2,0
5940,74,46,2,0,0,0,0,1,0
5887,155,141,2,0,0,2,0,10,5
5899,19,30,3,0,0,1,0,5,1
5888,179,111,7,0,0,0,0,4,0
5877,169,79,1,0,0,1,0,15,2
5875,33,43,3,0,0,0,0,3,0
5886,167,127,7,0,0,0,0,10,3
5897,90,112,8,1,1,4,1,9,2
5871,90,72,63,2,1,1,2,8,5
5870,81,87,72,0,2,3,3,5,5
5868,147,38,31,0,2,0,0,6,5
5867,49,96,3,0,0,0,3,7,2
5872,88,78,1,0,0,0,0,14,0
5874,98,102,1,0,0,0,0,10,0
7676,134,88,30,1,2,2,3,9,9
7688,136,82,42,1,1,1,3,7,4
7675,114,106,35,0,0,5,5,12,3
7666,129,46,43,0,1,0,1,0,1
7659,175,39,6,1,2,1,2,0,0
7685,115,80,24,0,3,6,8,26,5
7686,125,84,25,1,3,4,5,16,10
7658,106,123,15,2,3,4,3,11,5
7665,115,64,46,0,0,0,1,10,3
7657,120,115,27,0,2,4,2,11,6
7687,133,71,33,2,1,3,5,20,0
7656,106,129,20,2,2,3,3,18,4
7681,111,102,42,1,0,0,0,10,7
7679,117,93,34,0,0,4,4,14,3
7680,128,75,30,1,0,0,4,23,5
7683,135,69,31,0,3,5,1,10,8
7682,115,108,28,0,0,0,2,6,12
7684,137,57,24,5,4,2,5,25,5
7678,128,75,38,0,1,3,3,14,6
7674,0,0,0,0,0,0,0,0,0
5927,123,60,9,0,0,0,0,8,3
7672,115,94,38,2,1,3,1,11,7
7677,117,91,27,3,1,4,2,12,9
7673,114,91,36,0,1,4,4,8,4
7671,113,89,21,0,3,7,1,16,3
7669,132,87,35,1,3,2,1,4,7
7667,139,75,24,3,2,6,3,14,11
7670,119,91,23,0,3,0,2,12,7
5882,142,138,7,1,0,3,0,12,0
5881,147,127,11,0,0,2,0,25,2
5869,88,87,47,0,3,5,2,9,6
7668,127,66,33,2,1,3,3,2,18
5883,206,95,5,1,0,1,0,2,0
5879,0,0,0,0,0,0,0,0,0
5983,41,35,5,0,0,0,0,0,0
5873,88,114,5,0,0,2,0,10,0
5880,147,146,2,1,0,1,1,11,4
5884,160,122,3,1,0,1,0,26,0
5885,163,118,11,0,0,0,2,8,0
7663,76,140,16,2,2,3,2,14,9
7664,64,164,13,1,1,5,2,12,9
7661,67,177,15,0,3,0,2,5,3
5866,62,35,2,0,1,1,0,48,0
7662,79,144,13,1,6,8,0,18,5
7660,63,169,16,0,1,1,1,16,5
7654,29,5,2,0,0,0,0,7,0
7652,0,0,0,0,0,0,0,0,0
7474,80,93,43,0,1,10,2,8,5
7471,86,122,26,0,3,7,5,8,6
7651,0,0,0,0,0,0,0,0,0
7470,93,95,46,2,2,4,3,6,7
7487,71,114,22,0,1,11,0,0,11
7505,84,66,57,3,5,2,1,14,16
7653,62,57,8,0,0,0,0,2,0
7472,88,105,37,1,3,9,1,18,6
7503,68,75,54,0,1,0,0,15,11
7504,64,96,63,2,1,1,0,6,5
7473,85,114,34,0,1,2,1,5,4
7502,78,86,57,2,2,2,0,5,7
7466,112,62,36,1,2,1,1,4,2
7467,102,46,52,0,2,3,2,3,5
7644,56,131,3,1,0,7,3,8,8
7645,56,131,3,1,0,7,3,8,8
7643,72,108,3,0,0,4,0,14,5
7485,85,95,37,2,4,10,1,8,7
7655,67,23,24,1,2,2,5,16,4
7482,94,88,33,1,4,2,3,9,7
7486,77,120,28,1,2,6,0,9,9
7484,87,113,26,2,4,8,2,13,5
7479,94,80,44,0,1,6,0,5,5
7478,97,75,34,2,2,7,1,14,9
7481,96,87,29,2,3,10,2,7,6
7642,65,120,4,1,1,4,3,14,3
7477,92,77,45,0,3,7,2,9,4
7480,91,102,44,0,0,8,0,6,4
7476,108,102,32,3,0,7,0,3,5
7501,99,43,14,1,2,2,1,3,3
7475,88,94,32,2,1,7,2,18,7
7500,95,33,10,1,0,0,2,3,4
7640,51,85,4,0,0,0,0,14,0
7641,32,111,6,1,1,0,0,6,1
7483,90,104,36,1,0,4,2,12,14
7646,185,45,38,2,0,3,2,5,3
7647,142,60,40,3,1,2,4,18,6
7468,89,85,32,1,1,3,2,12,13
7498,73,89,36,0,1,8,2,13,4
7469,86,94,23,1,2,3,1,9,4
7493,86,79,38,4,1,6,1,8,6
7496,98,84,26,0,3,1,2,7,9
7494,109,89,28,2,1,3,1,9,4
7499,77,92,42,2,3,7,3,6,4
7495,77,86,42,1,0,5,2,11,5
7492,75,100,39,1,0,10,1,5,4
7497,100,68,34,2,3,5,0,11,10
7491,104,78,42,0,2,3,2,7,6
7490,108,78,34,0,2,9,0,8,7
7488,76,87,40,1,2,7,3,7,13
7650,0,0,0,0,0,0,0,0,0
7506,118,47,4,1,1,1,0,2,0
7649,0,0,0,0,0,0,0,0,0
7489,99,64,48,1,2,4,2,8,5
7648,0,0,0,0,0,0,0,0,0
7424,94,84,36,2,7,4,3,14,8
7421,104,97,32,0,3,8,4,14,10
7422,89,94,41,2,3,6,1,4,15
7423,121,64,39,0,1,4,1,11,14
7445,96,93,45,0,3,1,1,4,14
7458,86,69,67,1,2,3,3,10,24
7457,72,76,65,2,6,1,1,20,12
7456,94,71,51,2,6,1,1,10,9
6741,59,27,4,1,1,1,1,6,2
7453,106,68,43,1,7,4,2,9,8
7451,109,59,57,0,5,2,5,6,10
7387,137,58,28,3,7,9,4,6,10
7459,65,72,74,0,4,3,3,12,17
7452,108,46,43,1,7,2,5,11,18
7386,138,68,46,4,5,9,1,5,4
7388,147,46,42,0,3,5,2,5,13
7377,145,58,33,0,2,4,0,7,12
7101,139,81,22,1,2,4,2,11,4
7102,150,73,10,1,3,1,1,2,5
6790,56,117,2,1,0,0,0,3,4
7376,150,48,38,3,3,9,2,6,5
7372,130,74,42,1,2,5,1,4,7
7373,145,46,37,1,6,14,4,3,11
7371,134,51,61,3,4,5,2,11,6
7374,131,54,47,2,6,11,4,9,4
7368,133,54,44,3,4,2,4,6,15
7375,141,62,47,2,2,7,1,6,14
7367,144,64,41,2,4,4,3,5,9
7370,123,58,43,1,2,8,1,9,18
7366,135,49,40,6,5,7,3,4,12
7393,135,49,41,6,3,9,1,7,9
7391,132,53,35,1,9,4,2,5,8
7369,126,71,53,2,10,3,1,3,7
7446,118,52,44,4,5,4,2,5,25
7390,130,60,43,1,5,6,1,3,11
7394,148,63,32,2,4,13,0,4,13
7392,143,52,25,2,6,5,6,8,14
7384,147,55,32,0,2,7,2,9,15
7389,150,41,26,2,1,9,3,7,10
7378,133,54,53,0,5,2,1,10,8
7385,156,50,33,0,1,5,3,10,14
7383,148,82,32,0,3,4,3,6,4
7382,111,83,45,1,5,3,1,6,8
7433,120,68,39,1,2,2,1,11,6
7381,141,49,46,1,3,8,2,2,8
7380,128,53,49,3,1,6,5,2,9
7450,93,75,59,5,2,2,4,11,8
7447,109,65,54,1,5,1,4,6,10
7432,127,65,36,0,7,3,0,3,13
7379,132,59,47,3,2,4,3,7,7
7100,146,76,17,2,2,4,0,5,6
7096,152,52,21,0,4,1,2,10,4
7099,163,63,20,1,3,4,0,10,0
7095,136,58,28,3,4,2,0,6,12
7448,108,74,42,2,6,1,3,6,7
7449,94,43,50,1,6,8,1,15,12
7092,136,75,21,3,1,3,3,7,2
7097,160,65,16,1,2,3,3,6,8
7454,89,63,67,2,4,2,1,15,12
7098,139,95,15,1,2,2,0,3,6
7455,75,79,54,1,6,5,5,6,11
7639,39,30,70,0,2,2,0,2,2
7094,141,43,19,2,0,1,2,10,6
7093,137,93,18,2,0,6,1,9,12
7403,153,60,27,0,0,2,0,19,0
7638,47,35,62,0,1,1,0,3,0
7402,114,72,39,0,1,1,0,26,0
7464,72,72,53,2,4,0,1,14,8
7461,119,50,66,2,1,2,3,16,15
7412,88,34,113,2,2,2,1,10,8
7411,107,45,89,0,1,2,2,9,7
7463,99,65,48,2,5,4,2,11,11
7460,73,73,58,2,3,4,3,9,14
7462,96,58,58,2,6,3,2,38,0
7419,116,90,43,1,2,2,3,8,6
7465,75,89,58,1,1,5,0,8,8
7409,87,42,120,0,2,2,1,2,8
7417,101,104,34,0,1,3,3,19,0
7415,143,62,49,0,1,0,0,7,7
7414,97,82,41,0,5,3,1,11,6
7413,117,69,44,0,2,4,4,9,12
7410,91,51,91,0,5,2,1,9,6
7418,113,61,56,1,2,6,3,9,7
7399,43,66,129,1,3,0,2,11,4
7420,108,88,37,2,3,0,2,4,4
7400,56,67,117,2,1,3,3,5,2
7398,66,64,119,2,0,0,1,7,4
7416,111,105,33,3,1,5,2,10,3
7442,107,82,36,1,5,2,1,8,6
7395,49,87,121,0,2,1,2,4,0
7397,60,67,90,1,2,5,3,14,0
7396,56,81,116,0,0,3,0,5,0
7443,111,62,54,2,1,4,1,11,10
7401,56,55,139,0,2,1,3,7,5
7444,123,58,55,2,5,1,0,4,15
7441,112,56,51,3,5,0,3,12,12
7439,97,83,35,3,7,2,2,9,6
7437,103,89,35,1,4,8,5,13,12
7436,85,75,50,3,3,2,2,15,7
7438,113,64,55,2,2,5,2,9,10
7440,114,67,39,3,5,9,4,10,5
7507,93,77,9,3,2,1,2,6,5
7434,74,91,40,1,3,5,2,12,14
7435,99,94,41,2,6,6,3,3,2
7408,158,69,15,1,3,7,0,6,3
7405,172,59,12,0,2,3,1,11,4
7404,164,66,10,0,1,2,2,6,9
7407,166,64,6,0,2,2,3,4,6
7406,153,71,15,1,1,4,0,6,5
7431,104,77,41,0,6,7,3,11,8
7428,114,58,40,4,4,3,4,6,14
7427,100,69,43,4,5,4,2,5,15
7426,109,63,47,2,2,5,2,13,20
7430,108,76,29,2,2,4,3,13,10
7425,84,123,34,1,2,3,3,2,7
7429,87,94,40,1,4,3,0,5,3
7091,139,101,5,0,0,1,1,28,8
7090,177,81,1,0,0,1,1,22,2
6925,122,96,10,1,5,3,0,4,1
6973,106,48,65,3,5,3,3,14,8
6995,102,52,48,3,1,8,4,26,8
6859,145,75,18,0,3,1,1,7,5
6850,135,72,23,1,5,3,0,12,6
6917,202,70,0,0,2,1,1,21,1
6920,162,17,14,0,14,0,1,92,5
6852,132,71,22,2,1,6,3,5,7
6921,158,24,11,0,1,0,1,84,0
6919,108,90,11,1,0,0,4,7,4
6851,125,83,27,1,4,6,1,18,1
6823,128,63,44,2,5,3,1,8,11
6884,112,134,10,1,2,1,1,11,9
6918,122,74,7,0,1,1,7,7,4
6858,174,50,23,1,2,5,1,7,4
6923,106,106,6,2,4,5,0,7,9
6824,0,0,0,0,0,0,0,0,0
6915,165,100,4,1,1,2,1,14,4
6916,183,92,7,1,0,0,0,21,2
6898,82,140,20,0,0,1,2,13,4
6922,113,90,9,2,3,3,0,12,2
6822,119,53,45,1,4,6,3,12,13
6820,128,50,41,3,3,5,2,8,12
6821,116,62,36,3,3,4,1,8,15
6819,121,70,53,2,3,4,4,4,13
6896,96,141,12,0,1,4,0,9,3
6897,130,108,19,0,0,4,1,11,3
6895,96,136,12,1,1,2,4,11,2
6891,122,108,16,1,1,2,0,19,1
6890,130,117,15,0,1,0,4,14,3
6894,98,141,18,1,1,3,1,12,4
6893,104,115,21,0,0,2,2,20,6
6889,96,144,12,0,1,5,0,11,2
7088,78,52,8,2,2,1,3,8,7
6924,134,79,6,2,2,0,0,3,5
6886,96,145,13,0,0,0,4,17,3
6887,113,125,11,1,0,1,0,13,12
6888,99,145,12,0,1,3,2,16,5
6885,117,107,18,0,1,0,1,17,7
6892,104,132,21,1,0,3,1,13,6
6913,168,98,6,0,0,0,1,14,3
6911,176,98,4,0,1,0,1,17,3
6914,176,83,7,0,1,2,0,24,2
6848,139,79,12,1,0,0,6,4,5
6912,186,83,8,0,1,1,0,9,6
6849,132,67,19,2,2,2,2,7,12
6905,157,123,4,0,1,2,0,19,0
6906,113,127,6,0,0,2,1,17,5
6910,204,62,3,0,0,0,0,22,4
6908,157,104,5,0,0,0,2,15,4
6857,153,73,9,0,2,3,3,8,3
6907,168,90,6,0,0,1,1,20,9
6904,202,79,0,1,0,0,0,17,7
6909,177,88,7,1,0,3,0,21,2
6856,150,56,30,3,2,1,0,2,8
6855,160,61,27,2,3,3,2,3,9
6854,146,77,36,1,1,3,1,5,5
7089,15,3,0,0,0,0,0,3,0
6969,0,0,0,0,0,0,0,0,0
6972,119,41,61,2,7,9,4,11,9
6832,119,79,53,2,2,6,1,6,14
6971,118,63,52,3,9,7,3,11,8
6968,127,49,49,1,8,7,2,11,4
6829,140,45,51,2,5,4,0,9,10
6817,134,58,39,1,4,5,5,7,7
6830,107,108,25,1,7,7,2,82,8
6831,136,48,50,2,1,5,2,12,10
6816,117,45,54,5,2,1,0,5,18
6818,124,53,43,3,3,7,3,8,12
6815,132,56,34,0,2,6,2,16,5
6814,113,72,43,4,4,12,5,12,8
6812,134,49,59,4,7,5,2,5,8
6813,118,54,56,0,1,11,5,0,11
6811,119,74,47,0,4,5,1,6,5
6840,136,45,52,2,3,3,1,11,4
6839,128,62,48,2,3,5,3,5,11
6970,125,42,77,2,2,2,3,17,13
6842,113,76,45,3,2,6,2,31,0
6841,126,56,51,2,3,9,0,11,16
6838,112,67,41,0,6,7,2,14,9
6837,135,59,48,4,2,2,2,12,10
6834,118,81,43,1,5,3,4,6,12
6836,111,76,39,2,5,5,2,117,5
6807,116,78,34,1,2,4,1,3,16
6810,115,77,54,0,2,3,4,5,11
6833,121,51,42,2,7,4,2,14,14
6806,136,64,47,1,2,4,0,10,8
6809,134,44,47,0,2,5,2,11,13
6808,132,75,39,1,0,7,0,2,5
6835,147,48,47,1,4,6,0,8,11
6802,144,48,51,3,4,7,3,4,7
6828,117,50,45,2,3,6,5,12,10
6804,114,54,40,0,4,13,4,7,12
6805,119,54,36,3,4,9,2,9,10
6825,121,68,45,3,4,3,4,5,12
6826,99,82,45,1,3,4,3,4,15
6803,127,59,50,3,7,4,3,4,5
6827,131,53,46,1,6,10,3,4,11
6967,122,71,46,2,7,2,4,12,9
6964,84,61,70,3,8,4,6,12,11
6994,120,59,55,0,2,10,3,17,3
6963,102,52,70,1,6,3,5,15,7
6965,114,42,89,2,5,3,2,16,8
6990,115,54,62,0,4,5,4,7,6
6962,106,68,50,1,2,4,0,16,6
6961,109,38,63,1,6,3,4,14,6
6966,95,68,46,1,3,4,5,16,11
6993,118,43,66,1,5,4,2,16,10
6992,108,43,67,2,2,8,4,16,11
6991,99,62,50,3,2,8,1,19,9
6989,139,45,65,0,1,5,0,3,8
6988,111,45,64,0,4,2,2,27,9
6987,91,52,57,0,6,3,3,31,4
6986,119,52,55,1,5,3,1,22,4
6934,162,31,11,2,1,1,3,14,0
6932,142,51,11,1,3,3,5,5,7
6935,116,47,10,1,4,0,3,5,6
6791,142,64,20,5,1,1,0,5,7
6796,135,72,24,0,3,1,3,4,9
6797,136,54,20,1,2,4,2,9,16
6847,129,71,10,1,3,1,2,13,5
6846,129,71,14,1,3,1,2,4,3
6933,169,35,12,1,2,0,0,3,6
6795,144,59,18,2,4,0,2,9,13
6845,149,59,17,1,1,0,2,1,8
6985,113,56,59,1,2,5,7,14,9
6984,99,61,64,3,8,5,2,12,7
6903,110,142,7,1,0,0,0,20,4
6882,103,110,20,2,1,1,2,19,6
6883,94,141,17,0,0,0,0,16,1
6902,102,143,11,2,3,1,1,13,5
6881,115,129,16,0,1,0,2,12,4
6901,103,137,15,1,0,0,1,15,1
6899,112,108,18,0,0,3,1,15,3
6900,118,128,24,1,0,1,0,11,1
6880,124,105,23,0,0,1,1,20,3
6879,101,139,22,1,1,3,2,9,6
6878,91,147,16,0,0,2,2,3,4
6844,140,55,24,0,6,1,2,7,4
6876,110,138,15,0,0,2,1,20,1
6875,101,133,12,0,4,2,0,15,4
6874,96,132,14,2,2,0,1,21,2
6877,116,104,15,0,1,1,2,16,6
6793,135,65,24,1,2,3,2,12,17
6792,131,69,31,0,3,3,3,7,7
6794,129,61,25,2,8,4,2,6,15
6931,128,63,2,1,1,6,3,5,7
6843,175,33,31,0,4,1,1,2,2
6873,92,152,17,1,0,2,1,7,6
7063,125,54,66,4,5,7,2,12,5
7054,126,55,53,3,3,11,1,17,2
7064,116,34,54,3,3,7,3,21,7
7065,118,59,59,1,4,6,3,27,5
6872,89,148,16,0,0,1,1,14,2
6853,24,31,0,0,0,0,1,7,2
7085,94,76,53,1,3,10,0,21,9
7029,130,62,54,3,8,1,6,18,4
7086,131,44,55,0,2,8,1,16,5
7027,104,50,61,1,5,6,1,21,11
7028,126,57,52,1,6,4,4,20,4
7011,137,49,59,0,4,5,3,23,5
7038,116,64,43,1,8,4,1,15,10
7039,127,58,52,0,6,4,1,16,3
6950,111,52,62,0,2,9,2,24,3
7010,103,62,68,2,2,5,4,19,12
7012,122,36,68,0,5,5,4,25,9
7003,107,68,41,3,9,4,0,17,8
7007,106,47,74,2,3,2,6,25,9
7008,115,55,56,3,6,5,4,17,6
7009,116,40,60,1,3,2,7,19,4
7005,120,66,52,0,5,1,3,14,7
7002,109,45,57,3,9,5,7,15,5
7004,124,42,60,0,2,8,3,19,3
6997,124,54,60,0,3,6,4,19,5
6999,112,58,62,2,4,1,5,16,3
7001,112,53,70,0,7,4,10,12,7
7006,105,57,75,1,4,5,4,12,5
6998,112,61,66,0,5,3,5,14,6
6996,114,59,56,4,1,3,1,20,3
6959,125,36,70,3,4,5,2,18,11
6958,115,67,52,0,6,2,0,25,5
6953,106,62,55,1,6,8,6,18,8
6956,107,51,74,0,7,3,4,25,13
6957,117,61,51,1,11,4,3,12,3
6951,117,53,57,1,2,2,2,27,9
7053,131,40,58,2,1,7,3,18,4
6955,123,50,61,1,3,4,3,13,7
7052,103,63,53,3,2,3,4,18,1
6952,115,65,56,2,1,4,2,16,11
7049,119,35,60,0,10,8,2,21,5
6954,106,66,70,0,5,8,7,9,4
7050,116,59,62,1,6,6,0,18,5
7051,119,37,52,3,3,5,3,30,8
6948,110,60,59,1,3,3,3,18,5
6946,115,67,41,0,7,8,4,16,1
6949,127,46,73,1,4,8,0,20,1
6947,99,68,55,0,7,11,4,11,8
6945,111,74,49,2,7,5,0,8,6
6940,106,49,57,0,2,7,3,20,7
6944,128,59,60,1,3,3,3,10,12
6943,108,54,63,4,4,0,4,3,9
6939,113,59,58,1,2,7,4,18,5
6937,107,52,69,3,7,10,0,23,9
6942,100,80,54,0,3,10,1,21,6
6936,124,33,67,0,5,6,1,18,6
6938,125,42,63,0,1,8,2,21,9
6983,117,45,63,1,1,5,8,14,4
6941,99,53,65,2,7,4,3,20,4
6982,105,72,42,2,5,13,5,9,3
6977,126,61,56,0,5,2,7,14,10
6981,108,66,45,0,2,9,1,16,5
6980,100,57,64,3,0,3,5,34,7
6975,108,55,58,1,8,3,10,19,5
6976,123,42,73,2,5,3,3,16,4
6974,119,33,63,0,2,4,3,36,6
6978,102,48,50,1,4,10,3,28,5
7036,115,73,56,2,3,4,1,19,11
7034,114,64,39,0,5,7,1,15,4
7032,110,82,49,2,5,6,5,9,6
7037,85,58,79,0,1,5,3,16,9
7033,119,50,57,0,4,2,1,11,5
6979,109,60,54,4,3,2,0,20,6
7026,112,34,75,2,1,5,1,34,6
7035,107,51,52,4,5,4,4,18,8
7023,111,58,66,3,6,6,6,18,9
7030,103,73,62,4,4,6,1,17,2
7022,135,56,51,0,4,5,3,13,5
7025,108,77,45,1,4,2,6,7,8
7031,124,49,64,2,2,5,2,11,4
7024,127,64,61,1,3,4,3,17,3
7019,111,72,49,2,4,8,4,15,11
7020,113,53,66,5,3,4,1,18,9
7016,116,53,81,2,8,3,0,3,3
7014,113,69,58,0,12,3,7,14,3
7018,114,49,76,1,3,5,2,17,6
7021,106,59,55,2,7,6,1,18,3
7015,117,46,55,8,2,4,2,17,8
7017,109,44,60,1,4,3,1,24,6
7048,110,58,55,0,3,4,2,15,11
7013,104,51,61,0,7,5,2,22,3
7045,119,52,53,2,4,4,1,12,2
7041,110,75,51,2,7,5,3,18,8
7042,126,33,79,2,0,5,1,23,4
7046,122,72,55,1,2,9,4,13,2
7044,111,65,67,2,3,9,5,12,8
7043,115,57,73,3,3,4,5,14,5
7078,119,49,39,1,6,5,0,25,5
7040,111,59,64,2,4,5,4,17,4
7047,136,42,53,0,9,4,0,19,1
7077,127,48,56,0,4,3,1,23,9
7073,96,60,59,2,4,5,1,17,6
7074,109,53,63,0,2,5,1,16,5
7075,112,51,62,2,1,1,3,21,5
7070,127,65,52,0,3,6,1,25,2
7076,133,70,39,0,4,7,3,15,5
7071,118,60,42,1,3,5,1,20,3
7072,91,43,64,1,6,2,2,23,7
7084,101,54,54,0,12,5,2,17,6
7066,112,42,53,5,2,2,5,18,4
7069,131,59,41,0,3,6,3,17,0
7087,112,59,56,2,2,7,7,6,7
7068,108,41,63,0,4,4,2,21,3
7083,123,49,53,4,5,6,3,5,19
7081,98,55,60,1,4,6,3,15,11
7067,110,52,69,0,3,6,4,17,5
7061,125,51,67,1,6,2,1,17,8
7082,111,52,66,2,4,7,3,13,8
7062,112,66,51,2,7,5,2,12,5
7058,110,68,42,4,3,5,0,19,8
7080,110,57,48,3,5,3,4,16,5
7079,117,52,55,2,3,9,5,15,5
7059,101,66,63,3,0,8,7,4,4
7056,105,49,62,2,2,7,1,28,5
6870,101,117,33,1,2,0,1,20,1
7060,138,58,48,1,3,2,2,3,5
7055,113,44,59,0,5,3,1,18,10
7057,113,79,39,0,3,3,1,21,3
6871,96,166,10,1,2,0,1,9,4
6869,106,147,16,1,0,1,0,11,2
6867,129,132,16,0,0,4,1,8,1
6866,100,148,18,0,0,0,21,1,1
6868,123,113,18,0,0,0,5,22,6
6865,97,150,19,1,1,5,0,7,3
6862,112,129,11,0,5,5,0,14,6
6863,131,123,14,2,0,4,3,10,2
6860,119,114,12,0,2,2,2,16,5
6864,92,125,15,1,0,1,0,20,3
6861,94,132,15,0,0,2,1,10,9
6929,120,104,15,2,1,2,0,6,3
6927,88,108,13,1,5,2,0,3,3
6926,99,89,9,1,1,2,2,5,11
6801,131,51,14,1,4,2,0,5,2
6799,149,56,17,0,8,0,2,7,5
6669,121,51,6,3,5,3,1,11,3
6798,141,42,20,1,6,1,2,4,5
6800,137,53,21,1,2,6,1,1,6
6738,193,36,7,0,2,0,2,19,3
6759,182,56,17,0,5,2,2,7,5
6739,187,46,11,2,3,1,2,4,5
6757,174,35,18,40,5,1,1,10,14
6770,37,12,6,0,1,0,0,3,2
6766,155,51,18,1,5,0,5,9,6
6740,187,19,12,3,1,5,2,19,6
6767,175,33,17,3,5,1,1,5,21
6758,134,74,24,1,4,2,3,9,7
6747,117,65,5,0,1,2,0,5,7
6768,151,33,16,1,6,5,2,5,10
6734,43,22,3,0,0,2,0,3,2
6765,168,45,17,4,5,4,2,3,8
6748,140,68,14,0,1,1,0,2,2
6746,118,67,11,2,2,4,0,4,7
6761,161,53,26,5,4,3,2,6,9
6733,43,53,2,0,0,2,0,8,2
6764,151,50,18,0,3,7,2,7,10
6763,154,47,18,1,7,3,6,10,10
6760,169,45,20,2,6,2,4,6,12
6745,153,92,5,0,0,0,0,11,1
6755,172,55,16,2,2,1,0,7,13
6744,130,98,6,0,2,2,0,21,2
6754,142,72,15,0,2,4,1,6,12
6762,151,71,10,1,2,2,0,9,14
6753,153,63,18,3,5,1,3,2,10
6743,129,102,4,0,0,0,0,16,3
6773,156,70,12,0,8,0,1,9,3
6742,134,93,3,1,0,0,0,14,0
6756,159,59,19,2,3,1,1,7,5
6752,175,26,19,1,5,5,3,10,14
6772,132,81,12,3,3,6,1,7,1
6774,137,65,13,2,1,2,1,9,9
6771,174,58,10,2,2,3,1,4,14
6930,110,94,10,0,1,4,1,4,4
6737,171,61,9,1,0,1,2,12,10
6928,108,98,8,0,2,1,3,2,5
6736,179,37,18,0,1,0,1,8,8
6789,148,88,12,1,1,3,0,18,0
6781,179,85,9,1,0,2,1,13,0
6735,103,50,22,1,0,2,0,3,4
6788,130,87,15,0,1,2,1,29,1
6783,174,71,5,1,2,2,1,20,1
6787,147,70,10,0,1,0,0,24,2
6786,144,94,10,0,0,0,0,15,3
6782,159,101,8,0,1,0,1,18,2
6749,135,52,12,3,1,0,1,4,1
6785,152,82,16,0,1,0,0,20,3
6751,129,61,11,0,3,2,1,4,9
6779,136,62,16,8,3,2,2,4,6
6780,145,54,7,2,5,4,2,8,4
6776,163,50,19,1,0,4,1,10,0
6777,167,66,16,3,7,2,0,6,5
6778,136,58,10,0,5,5,0,5,11
6726,125,58,33,3,5,2,2,4,16
6732,131,57,27,0,4,4,0,7,0
6728,142,45,35,2,5,2,2,8,14
6729,140,59,34,3,2,5,0,3,8
6715,147,27,56,0,1,0,0,57,4
6784,0,0,0,0,0,0,0,0,0
6731,131,59,26,0,5,0,1,7,4
6714,133,29,51,1,0,3,0,72,3
6710,160,80,13,3,0,1,3,24,4
6711,147,23,45,0,1,4,1,68,2
6712,142,36,39,0,1,1,0,63,1
6705,153,112,7,0,2,3,1,12,4
6708,187,70,10,0,1,3,1,23,3
6730,143,48,29,2,2,3,0,0,0
6709,161,90,5,1,1,0,0,28,5
6713,150,26,48,1,2,3,1,55,2
6769,36,16,2,0,1,0,1,3,0
6694,155,102,10,4,1,0,4,10,3
6693,168,78,3,0,2,4,3,16,4
6692,167,90,9,0,1,2,2,13,2
6690,128,110,4,2,1,4,0,20,2
6691,145,94,13,0,0,3,1,13,6
6688,178,68,5,1,1,3,0,16,3
6725,132,47,18,2,2,2,3,30,19
6704,156,98,8,0,1,3,1,19,4
6687,162,67,11,2,2,1,2,33,5
6707,142,97,18,2,3,4,0,14,3
6727,138,48,22,2,4,1,5,5,6
6775,154,54,11,2,7,7,2,7,10
6689,154,105,8,0,1,0,1,12,3
6703,151,92,9,1,0,0,1,19,2
6706,147,115,7,1,1,2,0,16,2
6750,157,46,12,1,3,1,1,5,6
6700,151,89,9,2,0,3,1,26,2
6699,189,60,9,1,1,1,1,18,6
6695,156,100,15,0,1,1,1,8,2
6701,145,92,10,1,1,3,1,27,2
6698,170,84,8,1,0,2,0,22,1
6702,173,87,3,2,2,1,1,26,4
6697,145,92,15,1,2,0,0,19,4
6696,151,92,17,0,0,0,1,10,5
6716,42,84,4,0,0,1,2,2,1
6722,138,39,51,0,4,0,4,8,13
6720,160,43,19,1,1,2,3,12,8
6718,128,68,30,0,1,4,2,10,8
6723,140,59,24,3,7,1,1,5,11
6721,163,41,22,2,4,0,1,15,9
6717,148,46,26,1,2,0,0,6,18
6719,140,75,22,2,0,4,2,17,8
6686,31,45,3,0,1,1,1,2,1
6676,121,84,16,2,1,2,3,19,7
6679,133,73,7,2,3,2,5,9,11
3047,15,11,1,0,0,1,0,1,2
6678,134,69,20,2,3,3,4,11,3
3078,46,19,44,0,0,1,0,10,0
6681,140,66,11,2,1,7,1,9,11
6646,144,71,22,1,6,3,2,5,7
3131,107,39,50,1,2,13,0,22,0
6656,125,70,18,1,7,9,1,12,0
6659,122,70,23,5,3,5,4,6,8
6657,137,67,30,3,3,3,3,6,5
3099,118,87,26,4,1,7,3,0,0
3111,111,99,15,2,2,10,3,8,14
6624,121,83,24,4,1,4,2,11,7
6658,130,72,20,2,2,4,2,9,9
3110,117,68,30,2,3,6,4,6,12
3098,102,73,31,6,4,4,7,9,25
6677,130,75,6,2,3,3,2,14,13
3097,113,81,38,2,5,6,4,1,18
6623,127,94,18,2,3,4,2,8,17
6621,121,87,22,2,3,10,8,2,12
